postcode,division,district,thana,suboffice,postcode_bn
1601,ঢাকা,নরসিংদী,নরসিংদী সদর,UMC জুট মিলস,১৬০১
1612,ঢাকা,নরসিংদী,পলাশ,চরসিন্ধুর,১৬১২
1613,ঢাকা,নরসিংদী,পলাশ,ঘোড়াশাল,১৬১৩
1611,ঢাকা,নরসিংদী,পলাশ,ঘোড়াশাল ইউরিয়া ফ্যাক্টুরি,১৬১১
1610,ঢাকা,নরসিংদী,পলাশ,পলাশ,১৬১০
1631,ঢাকা,নরসিংদী,রায়পুর,বাজার হাসনাবাদ,১৬৩১
1632,ঢাকা,নরসিংদী,রায়পুর,রাধাগঞ্জ বাজার,১৬৩২
1630,ঢাকা,নরসিংদী,রায়পুর,রায়পুর,১৬৩০
1620,ঢাকা,নরসিংদী,শিবপুর,শিবপুর,১৬২০
7730,ঢাকা,রাজবাড়ী,বালিয়াকান্দি,বালিয়াকান্দি,৭৭৩০
7731,ঢাকা,রাজবাড়ী,বালিয়াকান্দি,নালিয়াগ্রাম,৭৭৩১
7723,ঢাকা,রাজবাড়ী,পাংশা,মৃগিবাজার,৭৭২৩
7720,ঢাকা,রাজবাড়ী,পাংশা,পাংশা,৭৭২০
7721,ঢাকা,রাজবাড়ী,পাংশা,রামকোল,৭৭২১
7722,ঢাকা,রাজবাড়ী,পাংশা,রতনদিয়া,৭৭২২
7710,ঢাকা,রাজবাড়ী,রাজবাড়ী সদর,গোয়ালন্দ,৭৭১০
7711,ঢাকা,রাজবাড়ী,রাজবাড়ী সদর,খানখানাপুর,৭৭১১
7700,ঢাকা,রাজবাড়ী,রাজবাড়ী সদর,রাজবাড়ী সদর,৭৭০০
8030,ঢাকা,শরীয়তপুর,ভেদোরগঞ্জ,ভেদোরগঞ্জ,৮০৩০
8040,ঢাকা,শরীয়তপুর,দামুধ্যা,দামুধ্যা,৮০৪০
8050,ঢাকা,শরীয়তপুর,গোসাইরহাট,গোসাইরহাট,৮০৫০
8010,ঢাকা,শরীয়তপুর,জাজিরা,জাজিরা,৮০১০
8021,ঢাকা,শরীয়তপুর,নড়িয়া,ভোজেশ্বর,৮০২১
8022,ঢাকা,শরীয়তপুর,নড়িয়া,ঘারিসার,৮০২২
8024,ঢাকা,শরীয়তপুর,নড়িয়া,কার্তিকপুর,৮০২৪
8020,ঢাকা,শরীয়তপুর,নড়িয়া,নড়িয়া,৮০২০
8023,ঢাকা,শরীয়তপুর,নড়িয়া,উপশি,৮০২৩
8001,ঢাকা,শরীয়তপুর,শরীয়তপুর সদর,আঙ্গারিয়া,৮০০১
8002,ঢাকা,শরীয়তপুর,শরীয়তপুর সদর,চিকান্দি,৮০০২
8000,ঢাকা,শরীয়তপুর,শরীয়তপুর সদর,শরীয়তপুর সদর,৮০০০
1920,ঢাকা,টাঙ্গাইল,বাসাইল,বাসাইল,১৯২০
1960,ঢাকা,টাঙ্গাইল,ভূঞাপুর,ভূঞাপুর,১৯৬০
1910,ঢাকা,টাঙ্গাইল,দেলদুয়ার,দেলদুয়ার,১৯১০
1913,ঢাকা,টাঙ্গাইল,দেলদুয়ার,ইলাসিন,১৯১৩
1914,ঢাকা,টাঙ্গাইল,দেলদুয়ার,হিংগা নগর,১৯১৪
1911,ঢাকা,টাঙ্গাইল,দেলদুয়ার,জাঙ্গালিয়া,১৯১১
1915,ঢাকা,টাঙ্গাইল,দেলদুয়ার,লউহাটি,১৯১৫
1912,ঢাকা,টাঙ্গাইল,দেলদুয়ার,পাঠারাইল,১৯১২
1982,ঢাকা,টাঙ্গাইল,ঘাটাইল,ডি পাকুটিয়া,১৯৮২
1983,ঢাকা,টাঙ্গাইল,ঘাটাইল,ধলাপাড়া,১৯৮৩
1980,ঢাকা,টাঙ্গাইল,ঘাটাইল,ঘাটাইল,১৯৮০
1984,ঢাকা,টাঙ্গাইল,ঘাটাইল,লোহানী,১৯৮৪
1981,ঢাকা,টাঙ্গাইল,ঘাটাইল,জাহিদগঞ্জ,১৯৮১
1990,ঢাকা,টাঙ্গাইল,গোপালপুর,গোপালপুর,১৯৯০
1992,ঢাকা,টাঙ্গাইল,গোপালপুর,হেমনগর,১৯৯২
1991,ঢাকা,টাঙ্গাইল,গোপালপুর,চাতুতিয়া,১৯৯১
1973,ঢাকা,টাঙ্গাইল,কালিহাতী,বাল্লাবাজার,১৯৭৩
1974,ঢাকা,টাঙ্গাইল,কালিহাতী,ইলিংগা,১৯৭৪
1970,ঢাকা,টাঙ্গাইল,কালিহাতী,কালিহাতী,১৯৭০
